LABEL	RC	OUT_B	ERR_B	OUT_FIRST	ERR_FIRST	ARGS
info.bare	0	595	0	Intent: The Steel Thread Process		info
info.help	0	595	0	Intent: The Steel Thread Process		info --help
info.badflag	0	595	0	Intent: The Steel Thread Process		info --zzz-not-a-flag
info.noproj	0	374	0	Intent: The Steel Thread Process		info
init.bare	1	0	51		error: This directory is already an Intent project	init
init.help	1	580	0	Usage: intent init [project_name]		init --help
init.badflag	1	0	40		error: Unknown option: --zzz-not-a-flag	init --zzz-not-a-flag
init.noproj	1	71	148	Initializing Intent v2.19.0 project: /	mkdir: intent: Read-only file system	init
st.bare	1	0	40		error: Steel thread command is required	st
st.help	1	2330	0	Usage: intent st <command> [options] [arguments]		st --help
st.badflag	1	0	41		error: Unknown command: --zzz-not-a-flag	st --zzz-not-a-flag
st.noproj	1	0	110		error: not in an Intent project directory	st
wp.bare	1	0	40		error: Work package command is required	wp
wp.help	1	658	0	Usage: intent wp <command> [options] [arguments]		wp --help
wp.badflag	1	0	77		error: Unknown wp command: --zzz-not-a-flag. Run 'intent wp help' for usage.	wp --zzz-not-a-flag
wp.noproj	1	0	110		error: not in an Intent project directory	wp
ac.bare	1	1342	0	Usage: intent ac <command> <stid> [args]   |   intent at <command> <stid> <atid>		ac
ac.help	1	0	108		error: unknown ac command: --help (try: list, status, satisfy, gate, descope, rescope, withdraw, reinstate)	ac --help
ac.badflag	1	0	118		error: unknown ac command: --zzz-not-a-flag (try: list, status, satisfy, gate, descope, rescope, withdraw, reinstate)	ac --zzz-not-a-flag
ac.noproj	1	0	110		error: not in an Intent project directory	ac
at.bare	1	1342	0	Usage: intent ac <command> <stid> [args]   |   intent at <command> <stid> <atid>		at
at.help	1	0	83		error: unknown at command: --help (try: list, lint, red, green, na, done, notdone)	at --help
at.badflag	1	0	93		error: unknown at command: --zzz-not-a-flag (try: list, lint, red, green, na, done, notdone)	at --zzz-not-a-flag
at.noproj	1	0	110		error: not in an Intent project directory	at
issues.bare	0	15	0	no open issues		issues
issues.help	0	577	0	Usage: intent issues <command> [options]		issues --help
issues.badflag	1	0	86		error: Unknown issues command '--zzz-not-a-flag'. Run 'intent issues help' for usage.	issues --zzz-not-a-flag
issues.noproj	1	0	114		error: not in an Intent project directory	issues
todo.bare	0	174	0	no intent/todo.md yet -- generating...		todo
todo.help	1	1077	0	Usage: intent todo [command] [arguments]		todo --help
todo.badflag	1	0	81		error: Unknown todo command: --zzz-not-a-flag. Run 'intent todo help' for usage.	todo --zzz-not-a-flag
todo.noproj	1	0	112		error: not in an Intent project directory	todo
doctor.bare	0	563	0	doctor: intent v2.19.0		doctor
doctor.help	0	384	0	Usage: intent_doctor [OPTIONS]		doctor --help
doctor.badflag	1	0	66		Unknown option: --zzz-not-a-flag	doctor --zzz-not-a-flag
doctor.noproj	0	397	0	doctor: intent v2.19.0		doctor
config.bare	0	0	0			config
config.help	0	0	0			config --help
config.badflag	0	0	0			config --zzz-not-a-flag
config.noproj	1	0	114		error: not in an Intent project directory	config
lang.bare	0	1149	0	Usage: intent lang <command> [options]		lang
lang.help	0	1149	0	Usage: intent lang <command> [options]		lang --help
lang.badflag	1	0	83		error: unknown lang subcommand '--zzz-not-a-flag'	lang --zzz-not-a-flag
lang.noproj	0	1149	0	Usage: intent lang <command> [options]		lang
llm.bare	0	596	0	Usage: intent llm <subcommand> [options]		llm
llm.help	0	596	0	Usage: intent llm <subcommand> [options]		llm --help
llm.badflag	1	0	44		error: Unknown subcommand: --zzz-not-a-flag	llm --zzz-not-a-flag
llm.noproj	1	0	111		error: not in an Intent project directory	llm
