FILE	TESTS	DEFAULT_FAIL	BURN	STATUS
tests/integration/core_functionality.bats	4	0	4	FULL
tests/integration/end_to_end.bats	3	0	3	FULL
tests/unit/ac_offscope_states.bats	12	0	12	FULL
tests/unit/acceptance_close_gate.bats	16	0	15	MIXED
tests/unit/agent_commands.bats	50	0	50	FULL
tests/unit/ambient_project_root_guard.bats	4	0	2	MIXED
tests/unit/at_grammar_lint.bats	19	0	18	MIXED
tests/unit/at_lint_wp_scope.bats	5	0	5	FULL
tests/unit/attribution_compliance.bats	7	0	0	NONE
tests/unit/au_language_code_guard.bats	4	0	3	MIXED
tests/unit/basic.bats	4	0	1	MIXED
tests/unit/bootstrap.bats	5	0	5	FULL
tests/unit/claude_md_template.bats	13	0	1	MIXED
tests/unit/claude_prime.bats	2	0	2	FULL
tests/unit/claude_with_intent.bats	14	0	13	MIXED
tests/unit/co_language_code_guard.bats	4	0	3	MIXED
tests/unit/config.bats	7	0	5	MIXED
tests/unit/credo_checks_residue.bats	6	0	6	FULL
tests/unit/critic_config.bats	10	0	3	MIXED
tests/unit/critic_dispatch.bats	14	0	0	NONE
tests/unit/critic_prose.bats	15	0	0	NONE
tests/unit/critic_report_format.bats	7	0	7	FULL
tests/unit/critic_runner_applies_to.bats	19	0	0	NONE
tests/unit/critic_runner_proxies.bats	33	0	0	NONE
tests/unit/docs_completeness.bats	16	0	1	MIXED
tests/unit/doctor_leftover_intent.bats	5	0	5	FULL
tests/unit/ext_commands.bats	27	0	27	FULL
tests/unit/ext_discovery.bats	13	0	13	FULL
tests/unit/ext_seed_validity.bats	18	0	1	MIXED
tests/unit/fileindex_commands.bats	47	0	2	MIXED
tests/unit/global_commands.bats	11	0	11	FULL
tests/unit/help_commands.bats	12	0	12	FULL
tests/unit/helpers.bats	17	0	0	NONE
tests/unit/highlander_audit.bats	4	0	0	NONE
tests/unit/in_author_essentials_skill.bats	6	0	0	NONE
tests/unit/in_content_essentials_skill.bats	6	0	0	NONE
tests/unit/in_session_skill.bats	14	0	0	NONE
tests/unit/init_commands.bats	13	0	12	MIXED
tests/unit/intent_acceptance_cli.bats	12	0	12	FULL
tests/unit/intent_agents.bats	25	0	23	MIXED
tests/unit/intent_bin_retarget_guard.bats	4	0	0	NONE
tests/unit/intent_claude_upgrade.bats	19	0	18	MIXED
tests/unit/intent_critic.bats	21	0	1	MIXED
tests/unit/intent_init_lang_flag.bats	7	0	7	FULL
tests/unit/intent_issues.bats	20	0	20	FULL
tests/unit/intent_lang.bats	30	0	30	FULL
tests/unit/intent_migrations_languages.bats	7	0	0	NONE
tests/unit/intent_migrations_relocate.bats	7	0	0	NONE
tests/unit/intent_todo.bats	22	0	22	FULL
tests/unit/intent_upgrade_dispatcher.bats	6	0	3	MIXED
tests/unit/intent_upgrade_orchestrator.bats	11	0	4	MIXED
tests/unit/learn_commands.bats	18	0	18	FULL
tests/unit/llm_commands.bats	5	0	5	FULL
tests/unit/modules_commands.bats	20	0	20	FULL
tests/unit/no_absolute_home_paths.bats	10	0	5	MIXED
tests/unit/no_template_fallback.bats	7	0	4	MIXED
tests/unit/objective_placeholder.bats	12	0	8	MIXED
tests/unit/organize_commands.bats	4	0	3	MIXED
tests/unit/output_width.bats	6	0	4	MIXED
tests/unit/plugin_commands.bats	12	0	12	FULL
tests/unit/pr_language_code_guard.bats	4	0	3	MIXED
tests/unit/pre_commit_hook.bats	15	0	0	NONE
tests/unit/project_commands.bats	3	0	3	FULL
tests/unit/release_gate_script.bats	7	0	0	NONE
tests/unit/release_script.bats	12	0	0	NONE
tests/unit/release_sidecars.bats	11	0	0	NONE
tests/unit/require_in_session_gate.bats	8	0	0	NONE
tests/unit/rule_index.bats	8	0	8	FULL
tests/unit/rule_pack_agnostic.bats	11	0	2	MIXED
tests/unit/rule_pack_author.bats	12	0	2	MIXED
tests/unit/rule_pack_content.bats	13	0	2	MIXED
tests/unit/rule_pack_elixir.bats	6	0	2	MIXED
tests/unit/rule_pack_elixir_runnable.bats	5	0	0	NONE
tests/unit/rule_pack_lua.bats	9	0	2	MIXED
tests/unit/rule_pack_prose.bats	12	0	2	MIXED
tests/unit/rule_pack_rust.bats	9	0	2	MIXED
tests/unit/rule_pack_shell.bats	14	0	2	MIXED
tests/unit/rule_pack_swift.bats	9	0	2	MIXED
tests/unit/rule_reference_skills.bats	5	0	0	NONE
tests/unit/rule_validator.bats	9	0	9	FULL
tests/unit/rules_path_guard.bats	2	0	0	NONE
tests/unit/session_context_script.bats	5	0	0	NONE
tests/unit/set_e_increment_guard.bats	1	0	0	NONE
tests/unit/skill_renderer_trap.bats	3	0	0	NONE
tests/unit/skills_commands.bats	39	0	39	FULL
tests/unit/st_commands.bats	54	0	54	FULL
tests/unit/st_enumeration.bats	10	0	9	MIXED
tests/unit/st_list_all_vocabulary.bats	7	0	7	FULL
tests/unit/st_new_acceptance.bats	3	0	2	MIXED
tests/unit/st_zero_commands.bats	33	0	32	MIXED
tests/unit/subdir_invocation.bats	7	0	6	MIXED
tests/unit/test_autopsy.bats	19	0	12	MIXED
tests/unit/test_diogenes.bats	19	0	19	FULL
tests/unit/title_pipe_sanitize_guard.bats	3	0	2	MIXED
tests/unit/treeindex_commands.bats	53	0	0	NONE
tests/unit/whiteboard_clock_guard.bats	12	0	0	NONE
tests/unit/whiteboard_protocol_3_guard.bats	7	0	4	MIXED
tests/unit/wp_commands.bats	30	0	30	FULL
