REV        | rc  OLD_examined   | rc  NEW_examined   | DELTA
f2a2675f   | 0   1 of 278       | 0   1 of 278       | 0
bc6cb09e   | 0   0 of 278       | 0   0 of 278       | 0
942abca8   | 0   1 of 278       | 0   1 of 278       | 0
48d48d20   | 0   2 of 278       | 0   1 of 278       | +1 OVERSTATED
95cfcafa   | 0   0 of 278       | 0   0 of 278       | 0
8d0e8736   | 0   1 of 278       | 0   1 of 278       | 0
d2638e11   | 1   1 of 278       | 1   1 of 278       | 0
336f956e   | 1   1 of 278       | 1   1 of 278       | 0
4b3034ff   | 0   0 of 278       | 0   0 of 278       | 0
ece4498c   | 0   0 of 278       | 0   0 of 278       | 0
38723bad   | 0   85 of 278      | 0   85 of 278      | 0
4002aa86   | 0   0 of 278       | 0   0 of 278       | 0
5a0d0e00   | 0   87 of 278      | 0   86 of 278      | +1 OVERSTATED
e3df4b5b   | 1   2 of 277       | 1   2 of 277       | 0
dec6b1b9   | 1   1 of 277       | 1   1 of 277       | 0
13120309   | 1   2 of 277       | 1   1 of 277       | +1 OVERSTATED
b13afe10   | 0   0 of 277       | 0   0 of 277       | 0
e1b632ca   | 0   2 of 277       | 0   1 of 277       | +1 OVERSTATED
c48aec74   | 0   84 of 277      | 0   84 of 277      | 0
f561145a   | 0   0 of 277       | 0   0 of 277       | 0
3f10b1ee   | 1   1 of 277       | 1   1 of 277       | 0
c9ecf0c3   | 0   0 of 277       | 0   0 of 277       | 0
1f0e73cd   | 0   85 of 277      | 0   84 of 277      | +1 OVERSTATED
87d6267b   | 0   0 of 276       | 0   0 of 276       | 0
14890e4c   | 0   2 of 276       | 0   1 of 276       | +1 OVERSTATED
3c3c29a4   | 0   0 of 276       | 0   0 of 276       | 0
bf6654fb   | 0   1 of 276       | 0   0 of 276       | +1 OVERSTATED
83938013   | 0   86 of 276      | 0   84 of 276      | +2 OVERSTATED
9fa056ec   | 0   0 of 276       | 0   0 of 276       | 0
4b1c6e14   | 0   0 of 276       | 0   0 of 276       | 0
